  super_book_code,  super_book_title,  keywords,  parisian_keyword,Illegality
spbk0004743,Taciti (C. Cornelii) quae extant opera,,,Permitted work (permission simple)
spbk0004748,"Rhétorique française, de Crevier",,,Permitted work (permission simple)
spbk0004851,"Histoire de Bertrand du Guesclin, comte de Longueville, connétable de France, par M. Guyard de Berille [sic]",,,Permitted work (permission simple)
spbk0004929,Grammaire anglaise et française par M.rs Miège et Boyer,,,Permitted work (permission simple)
spbk0004955,Opere dramatiche e liriche del signor abate Metastasio,,,Permitted work (permission simple)
spbk0004961,"Discours sur l'histoire ecclésiastique de M. l'abbé Fleury, confesseur du roi",,,Permitted work (permission simple)
spbk0005021,"Oeuvres de Gesner traduités en françois par M Hubert, avec figures",,,Permitted work (permission simple)
spbk0005080,Fables d'Esope,,,Permitted work (permission simple)
spbk0005096,"Paysan (Le) parvenu, ou Mémoires de M***",,,Permitted work (permission simple)
spbk0010000,[Epistolae selectae]: Ciceronis (M.T.) epistolae selectae,,,Permitted work (permission simple)
spbk0010001,"[Epistolae]: In Tullii Ciceronis epistolarum, libri IV",,,Permitted work (permission simple)
spbk0010002,Ciceronis orationes variae et opuscula ,,,Permitted work (permission simple)
spbk0010003,Ciceronis orationes cum appendica,,,Permitted work (permission simple)
spbk0010004,Abrégé de la méthode pratique pour converser avec dieu contenant diverses aspirations,,,Permitted work (permission simple)
spbk0010005,Abrégé de la nouvelle méthode,,,Permitted work (permission simple)
spbk0010006,"Abrégé de la pratique de la perfection chrétienne, du père Alphonse Rodriguez",,,Permitted work (permission simple)
spbk0010007,Old Testament / Ancien Testament (Catholic editions)  [Bible],,,Permitted work (permission simple)
spbk0010009,"Abrégé de l'histoire sainte avec des preuves de la religion, par demandes et par réponses",,,Permitted work (permission simple)
spbk0010010,"Abrégé des particules, etc",,,Permitted work (permission simple)
spbk0010011,"Abrégé des principes de la grammaire françoise, de l'arithmétiq. Lettres promesses; Lettres quittances etc. pour les écoles chrétiennes",,,Permitted work (permission simple)
spbk0010012,Abrégé des règles de la congrégation de l'immaculée conception de la bienheureuse vierge Marie,,,Permitted work (permission simple)
spbk0010013,Abrégé du catéchisme de Trèves,,,Permitted work (permission simple)
spbk0010014,"Abrégé du dictionnaire des cas de conscience de Pontas, par Collet",,,Permitted work (permission simple)
spbk0010015,"Accessus altaris, sive Dispositio ad missam",,,Permitted work (permission simple)
spbk0010016,"Adone (l'), poema heroico, del cavalier Gian Batista Marini",,,Permitted work (permission simple)
spbk0010017,Adresse de l'âme à son dieu,,,Permitted work (permission simple)
spbk0010018,Alphabet syllabique,,,Permitted work (permission simple)
spbk0010020,"Amant (L') de J. C. [Jésus Christ], ou Histoire de la vie et de la mort d'un ecclésiastique",,,Permitted work (permission simple)
spbk0010021,Amusemes curieux et divertissans propres à égayer l'esprit,,,Permitted work (permission simple)
spbk0010022,"Anti-Lucrèce, latin et français",,,Permitted work (permission simple)
spbk0010023,"Antiquités de la mation et e la langue des Celtes autrement appellez Gaulois, par le révérend père Duperron, etc",,,Permitted work (permission simple)
spbk0010024,"Arrêts de la cour du parlement de Toulouse, recueillis par Jean Albert, Avt [avocat]",,,Permitted work (permission simple)
spbk0010025,"Arrêts notables de Boniface avec les suites de Bonnet et de Berieux, etc",,,Permitted work (permission simple)
spbk0010026,Ars metrica,,,Permitted work (permission simple)
spbk0010027,Ars rhetorica,,,Permitted work (permission simple)
spbk0010028,Avis salutaire[s] d'un serviteur de dieu,,,Permitted work (permission simple)
spbk0010029,Baglivi: Opera medica,,,Permitted work (permission simple)
spbk0010030,Bible des noëls vieux et nouveaux,,,Permitted work (permission simple)
spbk0010031,"Bibliothèque des jeunes négociants, par Jean La Rue",,,Permitted work (permission simple)
spbk0010032,"Bibliothèque portative des pères, par Tricolet",,,Permitted work (permission simple)
spbk0010033,Bon paroissien (le),,,Permitted work (permission simple)
spbk0010034,Bouquet de la mission composé en faveur des peuples de campagne,,,Permitted work (permission simple)
spbk0010035,Bréviaire et missel romain à l'usage des laïques,,,Permitted work (permission simple)
